client_id,org_type,posted_date,major,gpa,courses,projects_count,internships_count,student_location,student_skills,title,role_family,required_skills,nice_to_have,salary_band,job_location,company_size,impressions,clicks,saves,apply,dwell_time,revisit_count,match_score,recommended
client_P2,P,2025-09-07,EE,3.2491385009491642,"HRM,AI,Security,WebDev,DL,Cloud",3,1,Hybrid,"hr_05,mkt_03,mkt_10,ml_08,data_08,web_06",Frontend,Frontend,"ml_05,data_02,mob_02,data_05,fin_09,fin_04,mob_10,mgt_10,mob_05,data_03","mob_10,sec_06,dev_08",80-120k,Hybrid,11-50,7,5,0,1,38.50735055828551,1,0.5163763924660181,0
client_P2,P,2025-10-24,SE,3.27356724056006,"Marketing,Business Analytics,AI,Operations Management,WebDev,DSA",2,1,Remote,"mkt_10,mob_04,hr_10,web_05,ml_08,mgt_03",Operations Manager,Operations Manager,"data_06,des_07,ml_11,web_10,sec_10,web_04","sec_10,mob_05,fin_09,web_04",20-30k,Onsite-B,1-10,11,1,0,1,17.564170169736187,1,0.288348207800102,0
client_P2,P,2025-09-04,IT,2.3231531301657293,"OS,Digital Marketing,DBMS,Operations Management,ML,DL",2,0,Hybrid,"mgt_07,ml_11,fin_03,mkt_08,mgt_09,mob_04,ml_05,fin_10,mgt_01,hr_10,mob_10",Strategy/Consulting,Strategy/Consulting,"cloud_08,dev_07,mgt_07,mkt_04,des_05,mkt_03","mgt_03,ml_08,web_09",30-50k,Onsite-C,1-10,6,0,0,0,40.22699763517453,2,0.057707836841740585,0
client_P2,P,2025-10-02,Management,3.540841488484704,"DL,Marketing,Corporate Finance,WebDev,Digital Marketing",2,0,Onsite-C,"fin_11,data_06,web_03,sec_10,mob_06,fin_02,web_09,des_10,ml_11,ml_05,mkt_03,ml_03",Design/UI-UX,Design/UI-UX,"mob_09,dev_02,hr_10,web_04,web_01","mkt_01,mob_05,mgt_03,hr_05,sec_06",50-80k,Onsite-A,51-200,9,0,0,0,36.88906062873801,2,0.22235200554874654,0
client_P2,P,2025-09-24,Business,2.827052602109194,"Digital Marketing,DSA,Human-Computer Interaction,NLP",2,0,Remote,"fin_08,data_02,cloud_08,mgt_02,mgt_07,mgt_06,sec_01",Data Engineering,Data Engineering,"sec_01,ml_02,mkt_09,mkt_03,hr_05,fin_02,web_04,web_03","mgt_01,ml_02",20-30k,Onsite-C,1000+,23,0,0,0,31.099931389764645,0,0.15063933780234562,0
client_P2,P,2025-09-27,HR,2.9433609684529816,"Strategy,NLP,DSA",2,1,Hybrid,"sec_02,mkt_09,mkt_03,mkt_10,mob_02,fin_02",Digital Marketing,Digital Marketing,"mob_09,fin_02,mob_03,mgt_08,data_08,mkt_10,mkt_08,web_05,mgt_02","mkt_09,dev_02,des_05,data_08,web_10",120k+,Onsite-C,201-1000,13,3,0,0,26.158700829248982,0,0.39157267561275677,0
client_P2,P,2025-09-11,Design,2.8437288866557626,"HRM,Strategy,Cloud",1,0,Onsite-B,"mgt_02,mob_02,cloud_02,fin_04,mkt_03",Mobile,Mobile,"mgt_03,ml_08,fin_11,dev_02,mkt_01,des_07,web_03,des_03,mob_03,mkt_02","ml_02,sec_10,web_04,ml_05,mkt_04",80-120k,Onsite-A,1-10,17,4,1,0,39.5998432433438,1,0.3690427646607318,0
client_P2,P,2025-08-06,CS,2.973552972837485,"Accounting,Strategy,OS,Cloud",0,0,Onsite-B,"dev_07,fin_03,mkt_03,mkt_08,mgt_08,ml_11,ml_03,cloud_12,fin_05,des_10,fin_10",DevOps/SRE,DevOps/SRE,"fin_05,web_04,dev_07,fin_03,mkt_04","web_10,ml_03",20-30k,Onsite-B,201-1000,4,2,2,1,39.81753812486859,2,0.7316992966306604,1
client_P2,P,2025-09-18,Marketing,3.425248386216917,"Digital Marketing,Cloud,WebDev,Corporate Finance",2,0,Onsite-C,"mkt_08,sec_06,mgt_08,mob_06,data_05,mgt_10,mgt_02,des_07,data_08",Strategy/Consulting,Strategy/Consulting,"ml_11,sec_06,cloud_09,mgt_09,mob_04","mgt_06,mob_09,cloud_08,web_10",50-80k,Hybrid,51-200,1,1,0,1,49.90977472883346,2,0.5858220379196828,0
client_P2,P,2025-08-18,Finance,2.631381548513541,"DSA,AI,HRM,DBMS,Accounting",0,0,Hybrid,"dev_06,mkt_04,sec_06,des_01,sec_10,mgt_03",Sales/BD,Sales/BD,"mkt_09,mob_10,sec_06,mkt_02,sec_01,mob_06,mgt_07,mgt_08,web_06,cloud_02","fin_09,fin_05,mgt_07,mkt_03",50-80k,Onsite-B,11-50,22,1,1,0,44.137880560154656,0,0.3375474676980409,0
