client_id,org_type,posted_date,major,gpa,courses,projects_count,internships_count,student_location,student_skills,title,role_family,required_skills,nice_to_have,salary_band,job_location,company_size,impressions,clicks,saves,apply,dwell_time,revisit_count,match_score,recommended
client_U3,U,2025-03-28,Business,3.0835980193996297,"NLP,Mobile,OS,Human-Computer Interaction,DBMS",1,0,Hybrid,"MKT_04,WEB_08,MOB_07,DES_02,DEV_06,MGT_03,ML_10,DATA_11,DEV_10,FIN_06,ML_04,ML_01",Mobile,Mobile,"SEC_04,CLOUD_06,CLOUD_08,MGT_06,MKT_04,MKT_09,FIN_01,MOB_08,HR_06,SEC_01","DATA_10,WEB_07,HR_08",30-50k,Onsite-A,201-1000,8,0,0,0,41.45540155058646,2,0.2441023350084226,0
client_U3,U,2025-02-19,Math,2.9050169354751567,"ML,DL,Human-Computer Interaction",2,0,Onsite-B,"WEB_04,CLOUD_12,MOB_08,FIN_04,DEV_01,CLOUD_08,ML_10,MOB_07,WEB_03,ML_04,DEV_06",Design/UI-UX,Design/UI-UX,"WEB_02,WEB_08,WEB_11,SEC_07,MKT_03,FIN_03,MGT_05,DATA_04,MGT_02,SEC_09","DATA_06,SEC_07",20-30k,Remote,1000+,22,0,0,0,45.68335163291868,1,0.2657337473942271,0
client_U3,U,2025-01-03,Math,3.455677102418142,"DBMS,AI,Digital Marketing,Networks,Mobile",0,0,Remote,"FIN_01,MOB_08,SEC_09,MGT_05,MKT_04,DATA_10,WEB_07,DES_04,FIN_03,SEC_04,MGT_06",Talent Acquisition,Talent Acquisition,"MGT_10,DES_02,WEB_05,ML_05,FIN_11","DES_03,DATA_04,DES_02",80-120k,Hybrid,11-50,1,1,1,1,46.6559524415231,1,0.41289810136003435,0
client_U3,U,2025-01-14,Design,3.5273977415033704,"NLP,Business Analytics,Corporate Finance,Strategy,Networks",1,1,Onsite-C,"CLOUD_12,WEB_07,DATA_06,SEC_03,DES_03,FIN_11,DEV_01,MKT_03,FIN_10",Data Science,Data Science,"SEC_01,FIN_01,DEV_01,FIN_05,CLOUD_06,FIN_06","DATA_11,MGT_03,SEC_07,ML_10",50-80k,Remote,201-1000,16,0,0,0,29.38615025617848,0,0.3821075046123633,0
client_U3,U,2025-02-01,Design,2.5666424618451122,"NLP,ML,DL,Human-Computer Interaction",1,0,Onsite-B,"DEV_06,ML_01,FIN_06,CLOUD_09,DES_02,WEB_11",Design/UI-UX,Design/UI-UX,"WEB_07,MGT_10,MKT_04,DATA_10,MOB_07,FIN_12,WEB_08,MGT_03,CLOUD_12,MGT_02","DATA_10,CLOUD_12,MGT_02",50-80k,Onsite-C,1-10,13,1,1,0,13.963480601273233,1,0.0873340641625155,0
client_U3,U,2025-01-05,CS,3.2348480437036646,"ML,Strategy,Corporate Finance,DBMS,AI,OS",2,0,Remote,"FIN_03,DEV_10,ML_05,SEC_04,ML_04,MKT_03,CLOUD_12,MGT_10,MOB_09",Operations Manager,Operations Manager,"SEC_01,MGT_10,WEB_05,WEB_04,MGT_05,ML_01","FIN_10,CLOUD_12",20-30k,Remote,1000+,13,4,1,0,12.438222066431951,0,0.6206558778888444,0
client_U3,U,2025-02-06,CS,2.8623344065711884,"DSA,Accounting,Marketing,Security,Operations Management",0,0,Onsite-A,"MKT_04,FIN_07,ML_05,MOB_09,MOB_07,DEV_01,MGT_02,DES_03",Investment Analyst,Investment Analyst,"DATA_11,SEC_01,DATA_06,MKT_09,DEV_01,SEC_09,FIN_05","HR_08,SEC_07,MOB_07,DEV_10",50-80k,Onsite-B,11-50,20,7,0,1,27.51908536860015,1,0.33245239365539575,0
client_U3,U,2025-03-12,IT,3.68570335749277,"ML,Operations Management,DL,WebDev,Accounting,DBMS",2,3,Onsite-B,"MKT_04,MOB_08,MKT_03,SEC_06,WEB_03,MGT_05,WEB_07,WEB_08",Software Engineering,Software Engineering,"DATA_10,MGT_03,SEC_01,FIN_10,MGT_10,MKT_03,ML_05,CLOUD_12","SEC_07,HR_08,FIN_12",80-120k,Onsite-A,201-1000,17,0,0,0,35.167883795000705,0,0.39810148396571443,0
client_U3,U,2025-01-24,Other,2.275479442840922,"DBMS,Digital Marketing,Cloud,Networks,AI",3,0,Onsite-B,"CLOUD_09,SEC_03,WEB_10,FIN_10,MGT_03,SEC_07,HR_08,MKT_09,FIN_05,DATA_11,ML_01,MKT_04",Sales/BD,Sales/BD,"WEB_11,ML_10,CLOUD_09,WEB_04,MGT_10,HR_06,MOB_07,MOB_09,CLOUD_08","ML_04,FIN_01,ML_10",20-30k,Onsite-C,11-50,3,3,0,1,20.308473174749537,0,0.25357137287534115,0
client_U3,U,2025-02-01,Marketing,3.4553631684013584,"AI,Mobile,ML,Accounting",0,0,Hybrid,"MOB_07,MKT_04,DATA_06,ML_10,FIN_07,HR_09,HR_06",Sales/BD,Sales/BD,"WEB_02,SEC_07,SEC_03,DATA_11,WEB_04,FIN_10,MGT_10,FIN_01,MGT_06","MOB_09,DEV_01,WEB_11,WEB_07,DES_04",50-80k,Onsite-A,51-200,16,0,0,0,23.41655525593038,0,0.1766027914113923,0
