entity_type,entity_id,canonical_ids,embedding
student,U00001,"['CANON_0009', 'CANON_0010', 'CANON_0008', 'CANON_0003']","[-0.022211829200387, 0.06388106942176819, 0.2275024950504303, 0.08757106959819794, -0.09185794740915298, 0.04914701357483864, 0.12306636571884155, -0.12928414344787598, -0.03304562345147133, 0.1545676738023758, 0.05262558162212372, 0.07346510142087936, 0.10961491614580154, 0.024255501106381416, 0.020626701414585114, -0.15041783452033997, -0.09161167591810226, -0.10440117865800858, -0.1058318093419075, 0.08911605924367905, 0.07599864155054092, -0.06206464767456055, 0.03912423923611641, 0.07660440355539322, 0.04685381427407265, -0.18627578020095825, -0.12473974376916885, -0.19284909963607788, 0.006962387356907129, -0.2749817669391632, 0.1466689109802246, 0.0008987644105218351, -0.1678231656551361, 0.17688889801502228, 0.16630354523658752, -0.11352761089801788, 0.10578466951847076, -0.11672508716583252, 0.11209826916456223, 0.22494164109230042, 0.082297183573246, -0.015350810252130032, -0.03739345446228981, -0.1688605099916458, 0.16333307325839996, -0.20153124630451202, -0.1298988312482834, -0.14880502223968506, 0.13744667172431946, 0.039416320621967316, 0.016686417162418365, -0.06256423145532608, 0.07850966602563858, 0.11092124134302139, 0.05979345366358757, -0.1329168677330017, -0.10245484858751297, 0.2060886174440384, -0.13734513521194458, -0.06970664113759995, 0.1741354912519455, 0.20522306859493256, -0.17571021616458893, 0.08147142082452774]"
student,U00002,"['CANON_0005', 'CANON_0002', 'CANON_0000', 'CANON_0006']","[0.09515751153230667, 0.16346365213394165, 0.06736963987350464, 0.17799991369247437, -0.08347674459218979, -0.0962621420621872, 0.13706208765506744, -0.2633756399154663, -0.12571761012077332, 0.1532769352197647, 0.11078255623579025, 0.013149420730769634, 0.004755659494549036, 0.006946362089365721, 0.04383719339966774, -0.16477154195308685, -0.04566926509141922, -0.01059015840291977, -0.041841715574264526, 0.11662182211875916, 0.06154106929898262, -0.01525470893830061, 0.15337425470352173, -0.018190914765000343, 0.1471795290708542, -0.2459450215101242, -0.08242122828960419, -0.23158526420593262, 0.007959351874887943, -0.21716833114624023, 0.21090418100357056, 0.18542909622192383, -0.13193915784358978, 0.06879282742738724, 0.17341248691082, -0.16025039553642273, 0.12379658222198486, -0.17615258693695068, 0.14219950139522552, 0.08643331378698349, 0.12202106416225433, -0.06559246778488159, -0.04864952713251114, -0.0594622865319252, 0.19096824526786804, -0.1536109447479248, -0.08293689787387848, -0.032584015280008316, 0.10816260427236557, 0.011403392069041729, -0.012804432772099972, -0.025184432044625282, 0.11155278980731964, 0.1857644021511078, 0.07783272862434387, -0.0979781374335289, -0.032552435994148254, 0.10755591839551926, -0.16250164806842804, 0.03879919275641441, 0.07885253429412842, 0.17175742983818054, -0.1626465916633606, 0.07516532391309738]"
student,U00003,"['CANON_0006', 'CANON_0008']","[-0.052122220396995544, 0.12051481753587723, 0.16375099122524261, 0.16330641508102417, -0.062676802277565, 0.10826075077056885, 0.14975978434085846, -0.18392504751682281, -0.046755600720644, 0.16394038498401642, 0.09581804275512695, 0.08313214033842087, 0.0069292327389121056, -0.07084611058235168, 0.036460794508457184, -0.20455646514892578, -0.02834135852754116, -0.0580778568983078, -0.07093930244445801, -0.009715203195810318, 0.08087391406297684, -0.018484918400645256, 0.12560304999351501, 0.04230611398816109, -0.04112979397177696, -0.25084972381591797, -0.11671934276819229, -0.10263661295175552, -0.054933350533246994, -0.22576771676540375, 0.0979384258389473, 0.11004688590765, -0.22054004669189453, 0.12962162494659424, 0.21570494771003723, -0.13568490743637085, 0.05743005499243736, -0.19681121408939362, 0.06541198492050171, 0.11804616451263428, 0.07693085074424744, 0.04432731121778488, -0.10078409314155579, -0.10036768019199371, 0.10367557406425476, -0.21054713428020477, 0.017741845920681953, -0.04625736176967621, 0.08793491870164871, 0.08677951991558075, -0.1127234473824501, -0.06094552204012871, 0.11662618815898895, 0.2807493507862091, -0.03348618000745773, -0.0927911177277565, -0.010545292869210243, 0.17136958241462708, -0.17873920500278473, -0.0670694038271904, 0.1191633939743042, 0.21208728849887848, -0.16437718272209167, 0.05935761332511902]"
student,U00004,"['CANON_0004', 'CANON_0003', 'CANON_0007']","[-0.019355811178684235, 0.16908691823482513, 0.23845325410366058, -0.04413730651140213, -0.12933684885501862, 0.02868969738483429, 0.0847097784280777, -0.16474708914756775, -0.1302693486213684, 0.1554242968559265, -0.014573427848517895, 0.006114063318818808, 0.10161098837852478, 0.19756807386875153, -0.005524894222617149, -0.19829189777374268, -0.05704932287335396, -0.04195232689380646, -0.011740975081920624, 0.11346020549535751, 0.12530936300754547, -0.03177335485816002, 0.1799740195274353, 0.07082075625658035, 0.09581440687179565, -0.14051200449466705, -0.2147030532360077, -0.13236907124519348, 0.01360613014549017, -0.22921402752399445, 0.13696105778217316, -0.0026517321821302176, -0.11654801666736603, 0.044879212975502014, 0.08999958634376526, -0.09436015039682388, 0.08364176750183105, -0.22052410244941711, 0.15568791329860687, 0.06267005950212479, 0.12170366942882538, 0.0318608433008194, -0.0279451385140419, -0.08131136000156403, 0.20501896739006042, -0.1985599249601364, -0.1666276752948761, -0.07057493925094604, 0.1648211032152176, 0.06448942422866821, 0.011262633837759495, -0.12886787950992584, 0.09748457372188568, 0.11653213202953339, 0.1251828521490097, -0.2066253125667572, -0.13986840844154358, 0.1559554636478424, -0.13949427008628845, -0.10635649412870407, 0.11622258275747299, 0.10545477271080017, -0.10144813358783722, 0.03459751978516579]"
student,U00005,"['CANON_0009', 'CANON_0004', 'CANON_0005']","[0.08594012260437012, 0.10896185040473938, 0.14117948710918427, 0.0232243612408638, -0.09570198506116867, -0.10293026268482208, 0.17731301486492157, -0.1535792350769043, -0.0628744587302208, 0.1525455266237259, 0.07258864492177963, 0.029309848323464394, 0.1213882714509964, 0.1303381323814392, -0.05791991204023361, -0.1298638880252838, 0.013555862940847874, 0.07071469724178314, 0.000670652836561203, 0.14250381290912628, 0.032916031777858734, -0.012027546763420105, 0.14277715981006622, -0.026056615635752678, 0.1499989628791809, -0.20154085755348206, -0.0764351412653923, -0.15928807854652405, -0.05744422599673271, -0.2175794392824173, 0.1626742035150528, 0.05847667157649994, -0.1885008066892624, 0.0501820407807827, 0.1529637724161148, -0.12953601777553558, 0.1538597196340561, -0.1600814014673233, 0.07648907601833344, 0.11554067581892014, 0.13313047587871552, -0.006291352678090334, -0.05593014135956764, -0.11713326722383499, 0.1616029441356659, -0.24994409084320068, -0.16484002768993378, -0.12127327173948288, 0.12352342903614044, 0.02221003547310829, 0.04960303008556366, -0.07624586671590805, 0.06276915222406387, 0.1664719134569168, 0.032163094729185104, -0.15681520104408264, -0.1392313838005066, 0.27707770466804504, -0.24287289381027222, 0.002251729369163513, 0.10421881824731827, 0.08591962605714798, -0.0928119421005249, 0.04938030615448952]"
student,U00006,"['CANON_0004', 'CANON_0002', 'CANON_0007']","[0.08068211376667023, 0.16222183406352997, 0.2286168485879898, 0.08180515468120575, -0.07237380743026733, -0.08914418518543243, 0.1498526781797409, -0.251400887966156, -0.1384970247745514, 0.14845184981822968, 0.06224070489406586, -0.07265636324882507, -0.02975200116634369, 0.1983831822872162, 0.0685911625623703, -0.17245055735111237, -0.06875469535589218, -0.010968994349241257, 0.08848694711923599, 0.1347324103116989, 0.17941197752952576, 0.013649187050759792, 0.11962269991636276, 0.0021212082356214523, 0.12732960283756256, -0.17945082485675812, -0.16759026050567627, -0.186360165476799, 0.0299353189766407, -0.13708661496639252, 0.163947194814682, 0.07766736298799515, -0.11002843827009201, -0.012375579215586185, 0.0980113297700882, -0.08477115631103516, 0.10387671738862991, -0.1875850111246109, 0.18348512053489685, 0.051383763551712036, 0.13469251990318298, 0.005211833864450455, -0.024305636063218117, -0.12304740399122238, 0.14500153064727783, -0.13699041306972504, -0.14334599673748016, 0.0003676716878544539, 0.17868362367153168, -0.02607474848628044, 0.09422998875379562, -0.10754195600748062, 0.0367223285138607, 0.10358410328626633, 0.14061440527439117, -0.17447009682655334, -0.04191794618964195, 0.15974636375904083, -0.15848270058631897, -0.038807258009910583, 0.114496149122715, 0.15069402754306793, -0.09310242533683777, 0.1538175642490387]"
student,U00007,"['CANON_0002', 'CANON_0005', 'CANON_0009', 'CANON_0007', 'CANON_0006']","[0.06579715758562088, 0.2111973613500595, 0.1385456770658493, 0.1357560008764267, -0.10250376164913177, -0.0981869250535965, 0.12130188196897507, -0.23078122735023499, -0.1077754870057106, 0.13080379366874695, 0.04980316013097763, 0.012316957116127014, 0.01947060413658619, 0.11717827618122101, 0.07997042685747147, -0.11235818266868591, -0.08527210354804993, -0.007269315887242556, -0.043232791125774384, 0.13015328347682953, 0.06077931821346283, 0.003190652234479785, 0.07175863534212112, -0.016059814020991325, 0.11237593740224838, -0.23774443566799164, -0.08561823517084122, -0.21110591292381287, -0.0276152566075325, -0.20613206923007965, 0.21481271088123322, 0.14559058845043182, -0.17681533098220825, 0.03217730298638344, 0.14109842479228973, -0.18566347658634186, 0.1213182732462883, -0.1732763946056366, 0.19183924794197083, 0.09436113387346268, 0.09016484022140503, 0.016676906496286392, -0.05835771933197975, -0.07369393855333328, 0.1968410313129425, -0.21590979397296906, -0.11198128759860992, -0.06323623657226562, 0.10210992395877838, 0.011022903025150299, 0.05695360526442528, -0.0470770038664341, 0.07222560793161392, 0.17287419736385345, 0.08629963546991348, -0.09919126331806183, -0.004691798239946365, 0.11885122209787369, -0.2009207159280777, 0.012369729578495026, 0.10688212513923645, 0.1785840541124344, -0.1568819284439087, 0.08172523230314255]"
student,U00008,"['CANON_0003', 'CANON_0001', 'CANON_0009', 'CANON_0006', 'CANON_0002']","[0.0341455452144146, 0.17105378210544586, 0.12781985104084015, 0.084852434694767, -0.13422590494155884, -0.03253144770860672, 0.13807842135429382, -0.18824656307697296, -0.0714210718870163, 0.10830282419919968, 0.028018461540341377, 0.0618295818567276, 0.01350673008710146, 0.034373871982097626, 0.07652071118354797, -0.1992417424917221, -0.062141694128513336, -0.054915621876716614, -0.09206940978765488, 0.14879272878170013, 0.088912732899189, -0.042596783488988876, 0.06623288244009018, 0.020827023312449455, 0.06986686587333679, -0.22806859016418457, -0.11900953203439713, -0.23550057411193848, -0.005139938555657864, -0.19539715349674225, 0.20444771647453308, 0.01945457234978676, -0.14161176979541779, 0.08473579585552216, 0.17768602073192596, -0.18463465571403503, 0.10473383218050003, -0.15445277094841003, 0.17923349142074585, 0.14653287827968597, 0.10292104631662369, 0.00020409536955412477, -0.0075057270005345345, -0.0848919004201889, 0.1582169532775879, -0.21759667992591858, -0.11282742023468018, -0.09601857513189316, 0.11711782217025757, 0.055540185421705246, -0.021611103788018227, -0.09047949314117432, 0.009955617599189281, 0.10562993586063385, 0.17716284096240997, -0.1352342963218689, -0.05182230472564697, 0.09055384248495102, -0.1549561470746994, -0.05090547353029251, 0.18812762200832367, 0.16348497569561005, -0.22084367275238037, 0.12998512387275696]"
student,U00009,"['CANON_0006', 'CANON_0003', 'CANON_0004']","[-0.013076749630272388, 0.15714764595031738, 0.17249250411987305, -0.004958305507898331, -0.1389269083738327, 0.04080936685204506, 0.0846795067191124, -0.13502661883831024, -0.09080469608306885, 0.10484042763710022, 0.018420912325382233, 0.026641136035323143, 0.08893028646707535, 0.10936691612005234, -0.05914397910237312, -0.23612526059150696, -0.03147786855697632, 0.022032713517546654, -0.028418593108654022, 0.07401446998119354, 0.12834987044334412, -0.06530261039733887, 0.2388293445110321, 0.118192158639431, 0.06097687408328056, -0.1933995932340622, -0.2182237207889557, -0.10731404274702072, -0.027215590700507164, -0.23259609937667847, 0.1170630231499672, -0.009818137623369694, -0.1670069843530655, 0.0820469781756401, 0.1800636202096939, -0.15000325441360474, 0.07543749362230301, -0.241395965218544, 0.09600795805454254, 0.07929045706987381, 0.11806387454271317, 0.03828670457005501, -0.07450331747531891, -0.05735203996300697, 0.15808744728565216, -0.21214227378368378, -0.15315282344818115, -0.056069616228342056, 0.12106827646493912, 0.09874771535396576, -0.06317935883998871, -0.1464058756828308, 0.10556481778621674, 0.14017370343208313, 0.09139217436313629, -0.20784012973308563, -0.08846189081668854, 0.12743906676769257, -0.16876806318759918, -0.062070440500974655, 0.13901959359645844, 0.11524803936481476, -0.14181992411613464, 0.0034312966745346785]"
student,U00010,"['CANON_0004', 'CANON_0006', 'CANON_0009', 'CANON_0003']","[0.013999296352267265, 0.14628762006759644, 0.1595335751771927, 0.019938141107559204, -0.12187502533197403, 0.007012207061052322, 0.09483794867992401, -0.13286450505256653, -0.0941648855805397, 0.10753494501113892, 0.03205002099275589, 0.017119787633419037, 0.09511365741491318, 0.10532519221305847, -0.025859445333480835, -0.19255325198173523, -0.015186040662229061, 0.004222081508487463, -0.036968640983104706, 0.09408992528915405, 0.08965932577848434, -0.03858357295393944, 0.16676729917526245, 0.06307607144117355, 0.07720311731100082, -0.19486472010612488, -0.14765597879886627, -0.1390659660100937, -0.04114959388971329, -0.23888885974884033, 0.15430374443531036, -0.02946338802576065, -0.1683216243982315, 0.10329031944274902, 0.20779672265052795, -0.17610286176204681, 0.11618131399154663, -0.17897795140743256, 0.1256752908229828, 0.12752917408943176, 0.10307588428258896, 0.03179353103041649, -0.06890850514173508, -0.11099303513765335, 0.17121466994285583, -0.25602373480796814, -0.17857980728149414, -0.11215642839670181, 0.11691587418317795, 0.09109826385974884, -0.005308410152792931, -0.14395441114902496, 0.06697926670312881, 0.1521463245153427, 0.1096402034163475, -0.18305405974388123, -0.08105001598596573, 0.14816361665725708, -0.21654623746871948, -0.06707749515771866, 0.1506730318069458, 0.11977048963308334, -0.13811522722244263, 0.018236178904771805]"
student,U00011,"['CANON_0004', 'CANON_0000', 'CANON_0001']","[0.06258108466863632, 0.05891651287674904, 0.10838830471038818, -0.006846853066235781, -0.06194581836462021, 0.0007141418755054474, 0.19187571108341217, -0.2329690307378769, -0.06688845157623291, 0.16638311743736267, 0.09965600818395615, 0.06091158464550972, -0.00047868318506516516, -0.015276649966835976, 0.005028582643717527, -0.2584165334701538, 0.12146586179733276, -0.09738636761903763, 0.02293076366186142, 0.163810133934021, 0.11927864700555801, -0.05984809622168541, 0.18542824685573578, -0.12988318502902985, 0.11287788301706314, -0.11836620420217514, -0.03544484078884125, -0.1756085753440857, 0.05654069036245346, -0.17708651721477509, 0.14679154753684998, -0.03730187937617302, -0.021820876747369766, 0.13476994633674622, 0.13158845901489258, -0.06239432841539383, 0.13672062754631042, -0.1234545111656189, 0.01102615986019373, 0.07487472146749496, 0.21852415800094604, -0.09374584257602692, 0.03222193941473961, -0.1408233940601349, 0.1499781459569931, -0.21299637854099274, -0.13531650602817535, -0.08987072855234146, 0.15550850331783295, 0.0583435520529747, -0.14185792207717896, -0.08789899200201035, 0.06479397416114807, 0.16668494045734406, 0.1437193751335144, -0.16891668736934662, -0.1910019963979721, 0.1899113655090332, -0.13979105651378632, -0.09891753643751144, 0.08267991989850998, 0.029961561784148216, -0.10868494212627411, 0.1638728529214859]"
student,U00012,"['CANON_0010', 'CANON_0001', 'CANON_0007', 'CANON_0006', 'CANON_0008']","[-0.02091933786869049, 0.15614666044712067, 0.22363130748271942, 0.09910815209150314, -0.0925750806927681, 0.04132198169827461, 0.14837901294231415, -0.24160106480121613, -0.014453650452196598, 0.14541994035243988, 0.0511312410235405, 0.10821328312158585, -0.012490827590227127, 0.03404804319143295, 0.08649331331253052, -0.18404395878314972, -0.06013442575931549, -0.1273009032011032, -0.06416769325733185, 0.11824579536914825, 0.13536565005779266, -0.07939553260803223, 0.07295521348714828, -0.03002980723977089, 0.013288465328514576, -0.1975681632757187, -0.08726272732019424, -0.17743325233459473, 0.021377651020884514, -0.23093754053115845, 0.1540619134902954, 0.07458282262086868, -0.16017188131809235, 0.13642412424087524, 0.1055920273065567, -0.12950477004051208, 0.08676425367593765, -0.1832132637500763, 0.07628640532493591, 0.11285525560379028, 0.14484308660030365, 0.010568557307124138, -0.03982759267091751, -0.109098419547081, 0.1729007363319397, -0.23700912296772003, -0.08563452959060669, -0.06797189265489578, 0.11659829318523407, 0.037156715989112854, -0.10493332892656326, -0.03406217694282532, 0.12247361242771149, 0.19117297232151031, 0.053158484399318695, -0.11434356123209, -0.04729722440242767, 0.1494457870721817, -0.13469457626342773, -0.0547928661108017, 0.11703214794397354, 0.18853014707565308, -0.19164451956748962, 0.15952518582344055]"
student,U00013,"['CANON_0011', 'CANON_0002']","[0.08223555237054825, 0.14625975489616394, 0.18575268983840942, 0.218176007270813, -0.1108056902885437, -0.0982212945818901, 0.062970370054245, -0.2577408254146576, -0.2050946205854416, 0.031946077942848206, 0.02766968496143818, -0.08169079571962357, -0.12077418714761734, 0.033140573650598526, -0.07542724907398224, -0.10221125185489655, -0.22274057567119598, -0.01844613626599312, 0.07407297194004059, 0.14188039302825928, 0.02964150346815586, -0.0423150435090065, 0.07927023619413376, 0.17616000771522522, 0.1037747710943222, -0.18667691946029663, -0.18384025990962982, -0.2663441002368927, -0.04371684417128563, 0.002633780473843217, 0.19128108024597168, 0.1932126134634018, -0.1453065127134323, 0.07465995848178864, 0.13248752057552338, -0.133215069770813, 0.06920266896486282, -0.11486726999282837, 0.2574692666530609, 0.05031690001487732, 0.1455078125, -0.074964739382267, 0.046529121696949005, -0.04640866443514824, 0.0164992343634367, -0.09774775803089142, 0.007462859153747559, 0.14604461193084717, 0.06653374433517456, -0.005968260113149881, 0.058671534061431885, 0.08806096017360687, 0.021974891424179077, -0.0663725808262825, 0.15978841483592987, -0.05561790615320206, -0.053664565086364746, 0.1258494108915329, -0.09193786978721619, 0.07855052500963211, 0.19584405422210693, 0.10245488584041595, -0.08894266188144684, 0.1514446884393692]"
student,U00014,"['CANON_0005', 'CANON_0010', 'CANON_0000', 'CANON_0009', 'CANON_0007']","[0.05775643140077591, 0.13761501014232635, 0.16101764142513275, 0.10346978902816772, -0.07314633578062057, -0.06251232326030731, 0.10596968978643417, -0.23420822620391846, -0.08752208203077316, 0.15917102992534637, 0.07365643978118896, 0.03788888454437256, 0.06819077581167221, 0.08799044787883759, 0.05240979045629501, -0.09784594178199768, -0.04396172612905502, -0.0927504301071167, -0.05094756931066513, 0.14853866398334503, 0.05434636026620865, -0.040870457887649536, 0.07778391987085342, -0.06738130748271942, 0.14046700298786163, -0.167251318693161, -0.024383360520005226, -0.21561700105667114, 0.0272388756275177, -0.2714763283729553, 0.2111576646566391, 0.10108882933855057, -0.11802934855222702, 0.13553979992866516, 0.11328410357236862, -0.14066027104854584, 0.15523763000965118, -0.11960545182228088, 0.11793353408575058, 0.13039907813072205, 0.1319185495376587, -0.05306999385356903, -0.040453508496284485, -0.13499285280704498, 0.24835558235645294, -0.23129384219646454, -0.1723862886428833, -0.12115263193845749, 0.11840991675853729, 0.007695992477238178, 0.021734807640314102, -0.017467988654971123, 0.13824591040611267, 0.1763070672750473, 0.06296319514513016, -0.10075980424880981, -0.08236055076122284, 0.16291174292564392, -0.176311194896698, -0.006905806250870228, 0.06375288218259811, 0.1518387794494629, -0.12732365727424622, 0.07675118744373322]"
student,U00015,"['CANON_0005', 'CANON_0008', 'CANON_0004', 'CANON_0006']","[0.012974563986063004, 0.12277475744485855, 0.16916993260383606, 0.0822523906826973, -0.09176390618085861, 0.004879087209701538, 0.1859789937734604, -0.18726250529289246, -0.0489092692732811, 0.17771299183368683, 0.08906830102205276, 0.07058253884315491, 0.06934154033660889, 0.039593521505594254, -0.04385508596897125, -0.19864493608474731, -0.014101951383054256, 0.03491027653217316, -0.022864941507577896, 0.0659114196896553, 0.07796909660100937, -0.03084099106490612, 0.1934908926486969, 0.031082211062312126, 0.061407897621393204, -0.24289707839488983, -0.14160674810409546, -0.12017612159252167, -0.05317309871315956, -0.22775430977344513, 0.11251582950353622, 0.12563173472881317, -0.2227850705385208, 0.06828725337982178, 0.16395340859889984, -0.11139857023954391, 0.08992398530244827, -0.23492614924907684, 0.04193719103932381, 0.085316501557827, 0.13054010272026062, 0.016944875940680504, -0.08549243956804276, -0.07658250629901886, 0.1294710487127304, -0.21128684282302856, -0.0551440455019474, -0.04831672087311745, 0.11773475259542465, 0.04888255149126053, -0.06658881902694702, -0.05983816459774971, 0.12501700222492218, 0.23414653539657593, -0.03271928057074547, -0.14637354016304016, -0.09846586734056473, 0.2530229687690735, -0.19472767412662506, -0.015435376204550266, 0.10016108304262161, 0.14905598759651184, -0.13061927258968353, 0.05400440841913223]"
