entity_type,entity_id,canonical_ids,embedding
student,U00001,"['CANON_SQL', 'CANON_COMMUNICATION', 'CANON_ML', 'CANON_CLOUD']","[-0.035020556300878525, 0.12982475757598877, 0.2178184986114502, 0.037924885749816895, -0.11838452517986298, 0.08838638663291931, 0.07119932770729065, -0.1308419406414032, -0.044582583010196686, 0.16786688566207886, -0.014111096039414406, 0.02529235929250717, 0.06586936861276627, 0.0736989676952362, 0.015435462817549706, -0.11629917472600937, -0.12946763634681702, -0.13130441308021545, -0.12044541537761688, 0.1368194818496704, 0.11356950551271439, -0.05010287091135979, 0.04070931673049927, 0.028423240408301353, 0.08481055498123169, -0.13134825229644775, -0.15908794105052948, -0.20904022455215454, 0.01874478906393051, -0.24344122409820557, 0.15670184791088104, -0.0611705556511879, -0.11697378754615784, 0.1596871316432953, 0.15203146636486053, -0.16748443245887756, 0.0782478004693985, -0.07263029366731644, 0.10692271590232849, 0.23689384758472443, 0.13402795791625977, -0.010882075875997543, 0.0216586422175169, -0.1844320148229599, 0.19965502619743347, -0.1713535338640213, -0.19472233951091766, -0.1590234488248825, 0.14337582886219025, 0.0661773532629013, 0.05581141263246536, -0.002326936461031437, 0.06794018298387527, 0.08744367212057114, 0.10866399109363556, -0.14012624323368073, -0.1303005963563919, 0.22523781657218933, -0.09050901234149933, -0.10286664962768555, 0.11459822207689285, 0.14258286356925964, -0.1215144619345665, 0.08512884378433228]"
student,U00002,"['CANON_MANAGEMENT', 'CANON_CPLUS', 'CANON_DATA_ANALYSIS', 'CANON_MARKETING']","[0.05693499743938446, 0.1720016747713089, 0.07605891674757004, 0.17023342847824097, -0.10352122038602829, -0.018068864941596985, 0.08615604788064957, -0.2568172812461853, -0.1493486613035202, 0.18544723093509674, 0.08799508959054947, 0.013673944398760796, -0.008351164869964123, -0.03248577564954758, 0.04072543978691101, -0.14400680363178253, -0.02459794282913208, 0.004040935076773167, -0.0809096023440361, 0.11445439606904984, 0.04895056411623955, -0.014960898086428642, 0.2102232426404953, -0.03600870445370674, 0.14148402214050293, -0.22216372191905975, -0.10485637187957764, -0.23969708383083344, 0.005417264997959137, -0.2191806435585022, 0.16155189275741577, 0.11767075955867767, -0.13704659044742584, 0.10210684686899185, 0.18475838005542755, -0.20825892686843872, 0.0440046526491642, -0.14860273897647858, 0.14129987359046936, 0.14968784153461456, 0.16230922937393188, -0.04008001089096069, -0.03045782633125782, -0.062245387583971024, 0.182247593998909, -0.13084693253040314, -0.08550883829593658, -0.08140892535448074, 0.12090200930833817, 0.09847790747880936, -0.05614802613854408, 0.017207760363817215, 0.1097087413072586, 0.16267621517181396, 0.06536110490560532, -0.10153783112764359, -0.08010361343622208, 0.16566704213619232, -0.1693839430809021, -0.009960955940186977, 0.05000967159867287, 0.10333672910928726, -0.1804102659225464, 0.07915513217449188]"
student,U00003,"['CANON_MARKETING', 'CANON_ML']","[-0.07309572398662567, 0.1323980689048767, 0.15203550457954407, 0.15128634870052338, -0.06396171450614929, 0.18628950417041779, 0.10812319815158844, -0.18285149335861206, -0.06380962580442429, 0.19543121755123138, 0.08663500845432281, 0.07746580988168716, -0.03923138603568077, -0.07427506893873215, 0.05296073481440544, -0.23996645212173462, 0.007370625622570515, -0.07909717410802841, -0.10741923749446869, -0.022754643112421036, 0.04677365720272064, -0.00821794755756855, 0.1672677844762802, 0.04716598242521286, -0.03838391602039337, -0.24171431362628937, -0.14520905911922455, -0.09419111907482147, -0.0928618460893631, -0.17610284686088562, 0.07804024964570999, 0.07075395435094833, -0.20290115475654602, 0.14202694594860077, 0.23029454052448273, -0.1813502460718155, -0.022456655278801918, -0.16612985730171204, 0.07198268920183182, 0.16762904822826385, 0.06978575885295868, 0.07574715465307236, -0.07545886188745499, -0.09433490037918091, 0.07883993536233902, -0.16933315992355347, 0.033948928117752075, -0.06698514521121979, 0.10156210511922836, 0.15539905428886414, -0.1257178634405136, -0.059685174375772476, 0.06518806517124176, 0.2574782073497772, -0.02547140046954155, -0.07900681346654892, -0.025250131264328957, 0.15586048364639282, -0.18006083369255066, -0.09121851623058319, 0.11074912548065186, 0.14588215947151184, -0.16006268560886383, 0.04571574553847313]"
student,U00004,"['CANON_JAVA', 'CANON_CLOUD', 'CANON_ML']","[-0.05842474848031998, 0.12828879058361053, 0.27014464139938354, -0.0530824176967144, -0.07909920066595078, 0.07981257140636444, 0.08217236399650574, -0.17098714411258698, -0.1674286425113678, 0.19097450375556946, 0.0060845534317195415, 0.005574515089392662, 0.0508773997426033, 0.1677839457988739, -0.02443641796708107, -0.2050243616104126, -0.08837127685546875, -0.07593496888875961, -0.04836145043373108, 0.1435297280550003, 0.1509356051683426, -0.051313530653715134, 0.1529206484556198, 0.031126851215958595, 0.07065421342849731, -0.08127421140670776, -0.27119678258895874, -0.17476487159729004, 0.04907253757119179, -0.2132352739572525, 0.06954818218946457, -0.0764232650399208, -0.06032455712556839, 0.059282008558511734, 0.08357114344835281, -0.07605157792568207, 0.017017193138599396, -0.14915914833545685, 0.11994270235300064, 0.1236499696969986, 0.1755964308977127, -0.0005340810166671872, 0.033270467072725296, -0.13090616464614868, 0.15772132575511932, -0.12708798050880432, -0.15959787368774414, -0.11379007250070572, 0.2023632526397705, 0.11387481540441513, 0.03384353965520859, -0.07021377980709076, 0.045499663800001144, 0.051936496049165726, 0.0972648486495018, -0.20436082780361176, -0.2029816061258316, 0.19967028498649597, -0.06969067454338074, -0.1502935141324997, 0.11166481673717499, 0.04257039725780487, -0.10897801071405411, 0.07700558751821518]"
student,U00005,"['CANON_SQL', 'CANON_JAVA', 'CANON_MANAGEMENT']","[0.038100358098745346, 0.11182370781898499, 0.13165283203125, -0.021075189113616943, -0.108248271048069, -0.04620995372533798, 0.12789872288703918, -0.13490872085094452, -0.06261388957500458, 0.15125063061714172, 0.0282521340996027, 0.028245829045772552, 0.14914268255233765, 0.1408265382051468, -0.06440675258636475, -0.07128805667161942, 0.00529065215960145, 0.06673390418291092, -0.03257523477077484, 0.1473662108182907, 0.038037437945604324, -0.0020242216996848583, 0.17555972933769226, -0.07010993361473083, 0.14208866655826569, -0.14509807527065277, -0.08812260627746582, -0.15005961060523987, -0.0733383372426033, -0.23858018219470978, 0.113425113260746, 0.00765923410654068, -0.1919185370206833, 0.0679083988070488, 0.14446114003658295, -0.13958965241909027, 0.0994466170668602, -0.11472518742084503, 0.0642300620675087, 0.12209822237491608, 0.1572163850069046, 0.02892596274614334, -0.0670870840549469, -0.1347295492887497, 0.18061429262161255, -0.2596082091331482, -0.18136702477931976, -0.154725581407547, 0.12676958739757538, 0.0817747414112091, 0.030673574656248093, -0.018211860209703445, 0.06252599507570267, 0.1676522195339203, 0.004862505942583084, -0.16255639493465424, -0.19364836812019348, 0.3337486982345581, -0.23971489071846008, -0.06080321595072746, 0.04443634673953056, 0.03218391537666321, -0.03926575928926468, 0.054065629839897156]"
student,U00006,"['CANON_JAVA', 'CANON_CPLUS', 'CANON_ML']","[0.020250452682375908, 0.14163687825202942, 0.26228606700897217, 0.06371014565229416, -0.027239438146352768, -0.023218432441353798, 0.13522760570049286, -0.2497899830341339, -0.19128254055976868, 0.2027217000722885, 0.05787407234311104, -0.08877415955066681, -0.07929491251707077, 0.15797719359397888, 0.06668321788311005, -0.16320863366127014, -0.1002274602651596, -0.04527181759476662, 0.0636422261595726, 0.16721312701702118, 0.2149769514799118, 0.017187858000397682, 0.10360567271709442, -0.036317043006420135, 0.10215873271226883, -0.10339993983507156, -0.22936555743217468, -0.2107257843017578, 0.08201422542333603, -0.10649359226226807, 0.08429241180419922, 0.0007901930948719382, -0.048685479909181595, -0.007627176120877266, 0.08684869855642319, -0.0782255083322525, 0.03051423653960228, -0.12130998075008392, 0.16555184125900269, 0.11887320876121521, 0.19094359874725342, -0.031152665615081787, 0.04247305914759636, -0.17034292221069336, 0.07607012242078781, -0.05844547599554062, -0.13969933986663818, -0.05123940482735634, 0.22420591115951538, 0.038251910358667374, 0.10323064029216766, -0.06319896876811981, -0.00367930275388062, 0.028018565848469734, 0.12212000042200089, -0.1859847456216812, -0.10060227662324905, 0.21097443997859955, -0.08125031739473343, -0.09522806853055954, 0.10638533532619476, 0.07074464112520218, -0.10939638316631317, 0.19834227859973907]"
student,U00007,"['CANON_CPLUS', 'CANON_MANAGEMENT', 'CANON_SQL', 'CANON_ML', 'CANON_MARKETING']","[0.01285594329237938, 0.2129114717245102, 0.16084861755371094, 0.12098672986030579, -0.1011342704296112, -0.012757177464663982, 0.08977536112070084, -0.2319379448890686, -0.14171017706394196, 0.17122913897037506, 0.042285189032554626, 0.025038279592990875, -0.0061547099612653255, 0.08997637033462524, 0.06283228099346161, -0.10013891756534576, -0.1031050756573677, -0.021606100723147392, -0.09583599865436554, 0.16065531969070435, 0.07988978922367096, -0.0012734574265778065, 0.09730290621519089, -0.04971293359994888, 0.09017866849899292, -0.18685460090637207, -0.1358795315027237, -0.23613794147968292, -0.0262217428535223, -0.21785762906074524, 0.14832323789596558, 0.06456369906663895, -0.16325639188289642, 0.07404244691133499, 0.16846852004528046, -0.21915823221206665, 0.034474026411771774, -0.11304294317960739, 0.17593128979206085, 0.1643778383731842, 0.14232678711414337, 0.023599771782755852, -0.03231048211455345, -0.11547953635454178, 0.1688641756772995, -0.18172363936901093, -0.11408954858779907, -0.12192292511463165, 0.12265753746032715, 0.1121322512626648, 0.035587672144174576, 0.011533199809491634, 0.040462613105773926, 0.1349191814661026, 0.055290840566158295, -0.1093512699007988, -0.06756390631198883, 0.19466190040111542, -0.17985846102237701, -0.05178801715373993, 0.09343414753675461, 0.10220324993133545, -0.17807184159755707, 0.12029463797807693]"
student,U00008,"['CANON_CLOUD', 'CANON_PYTHON', 'CANON_SQL', 'CANON_MARKETING', 'CANON_CPLUS']","[0.010733494535088539, 0.19717952609062195, 0.13844691216945648, 0.06985541433095932, -0.1462596207857132, 0.029154449701309204, 0.08601635694503784, -0.1790245771408081, -0.08488056063652039, 0.12514641880989075, -0.00016001709445845336, 0.0501936711370945, -0.02080177702009678, 0.03105534240603447, 0.07516832649707794, -0.17203208804130554, -0.0711950957775116, -0.07170626521110535, -0.1101502999663353, 0.1657630056142807, 0.1090313047170639, -0.024846766144037247, 0.0888388380408287, 0.010551445186138153, 0.06853123009204865, -0.19171929359436035, -0.16471531987190247, -0.24206355214118958, 0.0014750821283087134, -0.16103224456310272, 0.16145886480808258, -0.05464578792452812, -0.11227838695049286, 0.09593623876571655, 0.1955997198820114, -0.23674419522285461, 0.04035293683409691, -0.1080876886844635, 0.17477309703826904, 0.2057921439409256, 0.14044252038002014, 0.016818752512335777, 0.025551894679665565, -0.10689381510019302, 0.13235493004322052, -0.17174513638019562, -0.1441490203142166, -0.10816287249326706, 0.12529483437538147, 0.11709381639957428, -0.04384835436940193, -0.05406350642442703, -0.025029482319951057, 0.057176295667886734, 0.18775756657123566, -0.1433439403772354, -0.08055499941110611, 0.1241239458322525, -0.11279873549938202, -0.08580805361270905, 0.16435325145721436, 0.10030341893434525, -0.21939806640148163, 0.16030174493789673]"
student,U00009,"['CANON_MARKETING', 'CANON_CLOUD', 'CANON_JAVA']","[-0.017194274812936783, 0.1500573307275772, 0.18840397894382477, -0.0004964236868545413, -0.14038977026939392, 0.0876617580652237, 0.0397723913192749, -0.1239757388830185, -0.08836530148983002, 0.11718578636646271, 0.026733234524726868, 0.028675297275185585, 0.05949457362294197, 0.0992789939045906, -0.06787075102329254, -0.24794703722000122, -0.022193310782313347, 0.02191677689552307, -0.04587330296635628, 0.06952760368585587, 0.12199138104915619, -0.077467180788517, 0.26243826746940613, 0.12416131049394608, 0.04864228144288063, -0.1905355304479599, -0.24922415614128113, -0.1235656663775444, -0.03384268283843994, -0.20583917200565338, 0.07581432908773422, -0.07347436994314194, -0.1573065221309662, 0.09908187389373779, 0.20160743594169617, -0.19008293747901917, 0.01335687655955553, -0.19979694485664368, 0.07960139960050583, 0.1454877406358719, 0.14454765617847443, 0.051425300538539886, -0.053398504853248596, -0.0685802474617958, 0.13579250872135162, -0.16514426469802856, -0.1632344126701355, -0.05944658815860748, 0.12977446615695953, 0.14657096564769745, -0.08051246404647827, -0.1263567954301834, 0.06765275448560715, 0.0959065705537796, 0.08564518392086029, -0.19818183779716492, -0.11051130294799805, 0.14089630544185638, -0.14393465220928192, -0.07792209088802338, 0.13482360541820526, 0.06946569681167603, -0.14823764562606812, 0.008720256388187408]"
student,U00010,"['CANON_JAVA', 'CANON_MARKETING', 'CANON_SQL', 'CANON_CLOUD']","[0.0016134539619088173, 0.1549980342388153, 0.16651378571987152, 0.01054589357227087, -0.12865053117275238, 0.061011604964733124, 0.04824572801589966, -0.12050711363554001, -0.09549342095851898, 0.11356758326292038, 0.02417084202170372, 0.016195092350244522, 0.07592792809009552, 0.10793615877628326, -0.035437747836112976, -0.1834484487771988, -0.022453851997852325, -0.008914327248930931, -0.057715050876140594, 0.10189643502235413, 0.09796904772520065, -0.032661039382219315, 0.1898086667060852, 0.05674412101507187, 0.06677259504795074, -0.17575116455554962, -0.18413518369197845, -0.15092743933200836, -0.053297724574804306, -0.22209109365940094, 0.11126991361379623, -0.09249916672706604, -0.1522412896156311, 0.12418942898511887, 0.2350689023733139, -0.21824020147323608, 0.057084016501903534, -0.13004690408706665, 0.11213883757591248, 0.17770449817180634, 0.12634922564029694, 0.05068478733301163, -0.05621161311864853, -0.13723032176494598, 0.15724599361419678, -0.2206011861562729, -0.20101232826709747, -0.11605028808116913, 0.12109547853469849, 0.14393118023872375, -0.023516764864325523, -0.11275066435337067, 0.027335695922374725, 0.11742373555898666, 0.10019717365503311, -0.18536432087421417, -0.10852106660604477, 0.17176495492458344, -0.18758901953697205, -0.09546294063329697, 0.1310197114944458, 0.07047626376152039, -0.1269976645708084, 0.03813658282160759]"
