entity_type,entity_id,canonical_ids,embedding
student,U00001,"['CANON_0009', 'CANON_0010', 'CANON_0008', 'CANON_0003']","[-0.031308237463235855, -0.09786419570446014, 0.15550850331783295, -0.022064877673983574, 0.015989817678928375, 0.013132433407008648, 0.2301202267408371, -0.09747843444347382, 0.10631980746984482, 0.07298099994659424, 0.0021663422230631113, 0.08055917918682098, 0.2698144018650055, 0.13309815526008606, 0.007711432408541441, -0.02020883560180664, -0.17355342209339142, -0.035235706716775894, 0.0042101540602743626, 0.27641165256500244, 0.06428325921297073, -0.08877340704202652, 0.010048613883554935, 0.10483266413211823, -0.1595999300479889, -0.09296732395887375, -0.09579216688871384, -0.0044182599522173405, -0.012098535895347595, -0.14126242697238922, 0.09172071516513824, -0.07563985884189606, -0.09604553878307343, -0.009686327539384365, 0.212140291929245, -0.08922789245843887, 0.05153317376971245, 0.005121472757309675, 0.11050557345151901, 0.14552393555641174, 0.05436629429459572, -0.047032274305820465, -0.12906597554683685, 0.11644698679447174, 0.13893058896064758, -0.06664353609085083, 0.026086222380399704, -0.1824396550655365, 0.3446487486362457, 0.10274232178926468, -0.10258843004703522, -0.0733160674571991, -0.09385936707258224, 0.05680013447999954, 0.022296451032161713, -0.11671455949544907, -0.18344512581825256, 0.07065312564373016, -0.21546798944473267, 0.1573297530412674, 0.17953084409236908, 0.01940007694065571, -0.271542489528656, -0.01840231940150261]"
student,U00002,"['CANON_0005', 'CANON_0002', 'CANON_0000', 'CANON_0006']","[0.19526469707489014, -0.057636409997940063, -0.226216122508049, 0.10684753954410553, -0.20134207606315613, -0.1635368913412094, -0.06473125517368317, -0.18785710632801056, -0.11241740733385086, 0.010540394112467766, -0.01593147963285446, 0.14093829691410065, 0.012628491036593914, 0.055174119770526886, -0.17895588278770447, -0.015225344337522984, -0.09173285216093063, -0.05608651414513588, 0.09985848516225815, -0.05758911371231079, 0.12321402132511139, -0.1315767765045166, 0.15509019792079926, 0.19361291825771332, -0.022922413423657417, -0.21020691096782684, -0.007939836010336876, -0.022535625845193863, -0.025539850816130638, 0.012284665368497372, 0.03297536447644234, 0.09392984956502914, -0.19831925630569458, 0.14135707914829254, 0.046863339841365814, 0.042221978306770325, 0.09391194581985474, -0.022339986637234688, 0.13825158774852753, 0.026633653789758682, 0.227579727768898, -0.1730511635541916, -0.09744183719158173, -0.15353000164031982, 0.2677420973777771, -0.1920059770345688, -0.1838120073080063, 0.04358122497797012, 0.14547553658485413, -0.1672501266002655, 0.02962966077029705, 0.10459708422422409, 0.2075229436159134, 0.10639642924070358, 0.07639797031879425, 0.13257721066474915, -0.03158320114016533, 0.042242202907800674, -0.047913722693920135, 0.20722994208335876, -0.02183813974261284, 0.08304960280656815, 0.012875883840024471, 0.014103163965046406]"
student,U00003,"['CANON_0006', 'CANON_0008']","[0.11072780936956406, -0.009867974556982517, 0.05241282656788826, 0.2771621644496918, 0.08134913444519043, -0.09332291036844254, 0.21923834085464478, -0.27007097005844116, 0.046944890171289444, -0.03865767642855644, 0.0013241235865280032, -0.008741109631955624, 0.1655133217573166, -0.0859704315662384, -0.17433656752109528, 0.11576487869024277, -0.18087254464626312, 0.055663689970970154, 0.054244983941316605, -0.05385797843337059, 0.09570013731718063, -0.12455233931541443, 0.07184311747550964, 0.04540311172604561, -0.16594931483268738, -0.1350027173757553, -0.032558511942625046, 0.1114959791302681, -0.023470647633075714, 0.019533801823854446, -0.1811341643333435, 0.030513174831867218, -0.2470777928829193, 0.07850222289562225, 0.1755160391330719, -0.0409872904419899, 0.13935470581054688, -0.059953995048999786, -0.03771745041012764, -0.0018651844002306461, 0.26717448234558105, 0.04596933349967003, -0.08488141745328903, -0.08694840967655182, 0.1922624260187149, -0.15725746750831604, -0.003796833800151944, 0.05233323946595192, 0.12880387902259827, 0.05094866827130318, -0.003936656750738621, -0.02745375968515873, 0.042410727590322495, 0.050709594041109085, -0.11611640453338623, 0.15612566471099854, -0.18816086649894714, 0.29493042826652527, -0.20981812477111816, 0.05512542650103569, 0.045828208327293396, -0.0004414073482621461, -0.07770676165819168, 0.07273401319980621]"
student,U00004,"['CANON_0004', 'CANON_0003', 'CANON_0007']","[0.07699059695005417, 0.14960424602031708, 0.047231029719114304, -0.3004312217235565, -0.23700863122940063, 0.17183023691177368, 0.10605937242507935, -0.0028686197474598885, -0.12593160569667816, -0.004927365109324455, -0.21036970615386963, 0.025748848915100098, 0.0786258727312088, -0.00917080044746399, -0.14368702471256256, 0.009831174276769161, -0.02533315122127533, 0.032071687281131744, 0.10214691609144211, 0.08700790256261826, 0.035828981548547745, -0.016361571848392487, 0.00011242083564866334, 0.24777886271476746, -0.04952804371714592, -0.09268316626548767, -0.10932059586048126, -0.10134425759315491, -0.2859952449798584, -0.01719096675515175, 0.16576167941093445, -0.06839129328727722, 0.005025119986385107, 0.3186255693435669, 0.2768325209617615, -0.08001668751239777, 0.05474605783820152, -0.060090817511081696, 0.1932258903980255, -0.010664427652955055, 0.1232726201415062, 0.04009026661515236, -0.08362051099538803, 0.03913252055644989, -0.05782929062843323, -0.1058778241276741, 0.01837030053138733, -0.11062484234571457, 0.20161889493465424, 0.08658213913440704, -0.01741216890513897, 0.05088358744978905, -0.030537594109773636, 0.0052172159776091576, 0.23253466188907623, -0.018302949145436287, 0.09543843567371368, 0.07659552991390228, -0.05484018474817276, 0.046154070645570755, 0.17071068286895752, -0.10530272126197815, -0.12588347494602203, 0.024683060124516487]"
student,U00005,"['CANON_0009', 'CANON_0004', 'CANON_0005']","[0.10753572732210159, 0.10330714285373688, -0.04145996645092964, -0.16023829579353333, -0.22316522896289825, -0.011152002029120922, -0.0013015479780733585, -0.15310408174991608, -0.036633871495723724, 0.0056074438616633415, -0.1444225162267685, 0.1885664165019989, -0.0019642335828393698, 0.0760674998164177, -0.13981696963310242, -0.08186870068311691, 0.09404919296503067, -0.2017962783575058, 0.008087989874184132, 0.056837912648916245, 0.007180752232670784, 0.04865863174200058, 0.18609899282455444, -0.03255060315132141, -0.06034805625677109, -0.12136530876159668, -0.22076182067394257, -0.04267429560422897, -0.19699324667453766, 0.03693162649869919, 0.22232598066329956, -0.14858564734458923, 0.11457231640815735, 0.14605925977230072, 0.03852274641394615, 0.07802749425172806, 0.07885492593050003, -0.19778095185756683, -0.008267349563539028, -0.021858232095837593, 0.09678468108177185, 0.0859018862247467, 0.11907663941383362, -0.05813770368695259, 0.1440381109714508, -0.14537401497364044, -0.2037096470594406, -0.019734125584363937, 0.04611821100115776, -0.07868260890245438, 0.058306071907281876, -0.04376331344246864, -0.06186496093869209, 0.19346243143081665, 0.2673380672931671, -0.06181500479578972, -0.1185493916273117, 0.09087003767490387, -0.005245791282504797, 0.2815834879875183, 0.10146679729223251, 0.021306071430444717, -0.2585873007774353, -0.01335940696299076]"
student,U00006,"['CANON_0004', 'CANON_0002', 'CANON_0007']","[0.13360992074012756, 0.06808974593877792, -0.0011087254388257861, -0.1307677924633026, -0.28059035539627075, 0.03623326122760773, -0.029471559450030327, -0.00903933122754097, -0.10958719998598099, -0.13566814363002777, -0.09443964064121246, 0.07322804629802704, -0.0715833380818367, 0.10401419550180435, -0.17728658020496368, 0.08304224163293839, 0.02246500365436077, 0.0300266332924366, 0.16431736946105957, -0.003985291812568903, 0.16539119184017181, 0.016702504828572273, 0.0396125502884388, 0.2436952292919159, 0.07182520627975464, -0.16268891096115112, -0.12449800968170166, -0.07255124300718307, -0.19113025069236755, -0.12176534533500671, 0.2462552785873413, -0.08344891667366028, 0.08192437142133713, 0.22166825830936432, 0.16803833842277527, 0.045418739318847656, 0.0641694962978363, -0.13930726051330566, 0.12203335762023926, -0.022856907919049263, 0.23985160887241364, 0.017603551968932152, 0.043068777769804, -0.05552032217383385, 0.11692532151937485, -0.1990916132926941, -0.052056171000003815, -0.07281897217035294, 0.16730234026908875, -0.10074556618928909, 0.18669487535953522, 0.1340334415435791, -0.06156005337834358, 0.06795496493577957, 0.26149192452430725, -0.06629621982574463, 0.13483603298664093, 0.0877235010266304, -0.08149426430463791, 0.16217650473117828, 0.09045449644327164, 0.04198967665433884, -0.013099605217576027, 0.04272221028804779]"
student,U00007,"['CANON_0002', 'CANON_0005', 'CANON_0009', 'CANON_0007', 'CANON_0006']","[0.14184598624706268, 0.036369338631629944, -0.03741468861699104, 0.03572393208742142, -0.22984381020069122, -0.10786759108304977, -0.0491364449262619, -0.09418896585702896, -0.06485330313444138, -0.0211115013808012, -0.13460536301136017, 0.17239195108413696, 0.06995327025651932, 0.07719498127698898, -0.16508835554122925, 0.012930910103023052, -0.038467034697532654, -0.084218330681324, 0.0674663633108139, -0.10548201948404312, 0.048931289464235306, -0.05877416580915451, 0.12737958133220673, 0.11340321600437164, -0.13948628306388855, -0.32670536637306213, -0.07272041589021683, -0.07040978968143463, -0.11642248183488846, -0.08735382556915283, 0.19067218899726868, -0.03999554365873337, -0.026951340958476067, 0.20522205531597137, 0.03594812750816345, -0.03962406888604164, 0.05327779799699783, -0.1653394252061844, 0.16883493959903717, 0.0585351288318634, 0.2054205983877182, 0.047207172960042953, 0.0667746365070343, -0.03438634052872658, 0.346506267786026, -0.15408635139465332, -0.19067847728729248, -0.01583506539463997, 0.17291629314422607, -0.24738863110542297, 0.07774773985147476, 0.0888092964887619, 0.018117956817150116, 0.1263609081506729, 0.19134506583213806, 0.01595800183713436, -0.02340993657708168, 0.09047015756368637, -0.07547672837972641, 0.17130619287490845, 0.049419283866882324, 0.007709026802331209, -0.1067139208316803, -0.021104494109749794]"
student,U00008,"['CANON_0003', 'CANON_0001', 'CANON_0009', 'CANON_0006', 'CANON_0002']","[0.0037503018975257874, -0.06547245383262634, -0.00040198155329562724, 0.06900205463171005, -0.2414676696062088, -0.10949693620204926, 0.0821906104683876, -0.1530052125453949, -0.19205285608768463, -0.01188469398766756, 0.014746297150850296, 0.10738552361726761, 0.17904461920261383, 0.13253182172775269, -0.10178028047084808, 0.07466787099838257, -0.1648542582988739, 0.00044266259646974504, 0.05909368023276329, 0.09213551133871078, 0.08241639286279678, -0.12975211441516876, 0.10654561966657639, 0.19717732071876526, -0.16944880783557892, -0.19888950884342194, -0.07037095725536346, -0.03951313719153404, -0.0302100982517004, 0.050871435552835464, 0.15402249991893768, -0.01795900985598564, -0.13801895081996918, 0.14055682718753815, 0.06698203086853027, -0.00740073062479496, 0.18598219752311707, -0.049639180302619934, 0.22864146530628204, 0.0001348384830635041, 0.1680477112531662, -0.046962983906269073, -0.06259415298700333, -0.12103673070669174, 0.14933264255523682, -0.11038375645875931, -0.037907958030700684, -0.22606618702411652, 0.24301423132419586, -0.18632708489894867, -0.13150744140148163, 0.14701981842517853, 0.03614319488406181, 0.09485994279384613, 0.10688094794750214, -0.11801793426275253, -0.0365268848836422, 0.03214852884411812, -0.24711276590824127, 0.045798685401678085, 0.10732493549585342, 0.038077645003795624, -0.15554989874362946, -0.14507460594177246]"
student,U00009,"['CANON_0006', 'CANON_0003', 'CANON_0004']","[0.07185328006744385, 0.046591319143772125, -0.12974713742733002, -0.08351924270391464, -0.16672906279563904, 0.07834367454051971, 0.21727564930915833, -0.15323974192142487, -0.22175197303295135, -0.07786400616168976, -0.19707167148590088, -0.006257444620132446, 0.062399812042713165, -0.07646264880895615, -0.2309175729751587, 0.03617502748966217, -0.11981004476547241, 0.10690625011920929, 0.015538128092885017, 0.06905429810285568, 0.06778494268655777, -0.12389610707759857, 0.024428490549325943, 0.20339705049991608, 0.011245218105614185, -0.07982301712036133, -0.06650041043758392, -0.021455515176057816, -0.20239907503128052, 0.18544280529022217, -0.020379846915602684, 0.008211041800677776, -0.16914425790309906, 0.3011305332183838, 0.17383885383605957, -0.03167400881648064, 0.18111665546894073, 0.008083559572696686, 0.11756869405508041, -0.17758898437023163, 0.10350526869297028, 0.022563699632883072, -0.18323969841003418, -0.14675043523311615, -0.02470037341117859, -0.13617712259292603, -0.024170754477381706, -0.12213275581598282, 0.0923444926738739, 0.09644245356321335, -0.14721108973026276, 0.031650613993406296, 0.1168564036488533, 0.028308801352977753, 0.09075554460287094, -0.02367485873401165, -0.04226395860314369, 0.13846147060394287, -0.1864156872034073, 0.06398192793130875, 0.17657294869422913, -0.14529725909233093, -0.14018119871616364, -0.024324703961610794]"
student,U00010,"['CANON_0004', 'CANON_0006', 'CANON_0009', 'CANON_0003']","[0.036451879888772964, 0.03827553614974022, -0.04869649186730385, -0.05070436745882034, -0.1965254694223404, 0.010548142716288567, 0.16589240729808807, -0.1787312775850296, -0.13583092391490936, -0.03742266446352005, -0.21584926545619965, 0.07925648242235184, 0.15742218494415283, 0.03844395652413368, -0.17192502319812775, 0.009074801579117775, -0.04320640489459038, -0.015138254500925541, -0.007323472294956446, 0.13289594650268555, 0.038951583206653595, -0.10118432343006134, 0.0695740208029747, 0.11405257135629654, -0.07614567875862122, -0.1402776837348938, -0.11337019503116608, -0.028405768796801567, -0.19777198135852814, 0.14284764230251312, 0.04834379628300667, -0.08143654465675354, -0.1010265126824379, 0.24523764848709106, 0.17338140308856964, -0.07430773228406906, 0.1309136599302292, -0.05666537955403328, 0.06916908174753189, -0.1236945241689682, 0.11063854396343231, 0.1120142862200737, -0.09719577431678772, -0.11024989187717438, 0.08602333068847656, -0.1773027628660202, -0.11603401601314545, -0.1491052657365799, 0.13308744132518768, 0.02569631300866604, -0.0889895036816597, 0.02636781521141529, 0.03203726187348366, 0.10734915733337402, 0.20516745746135712, -0.1327088177204132, -0.11846885830163956, 0.1651933640241623, -0.18892258405685425, 0.15119214355945587, 0.24986973404884338, -0.11596230417490005, -0.2360532432794571, -0.10195843130350113]"
