entity_type,entity_id,canonical_ids,embedding
student,U00001,"['CANON_SQL', 'CANON_COMMUNICATION', 'CANON_ML', 'CANON_CLOUD']","[-0.02105410397052765, 0.06930990517139435, 0.22711309790611267, 0.08909665793180466, -0.07818758487701416, 0.0621228851377964, 0.1139431744813919, -0.12677443027496338, -0.041190121322870255, 0.16691917181015015, 0.04362444579601288, 0.05880504101514816, 0.10742820054292679, 0.018500937148928642, 0.023681294173002243, -0.13944362103939056, -0.08313504606485367, -0.12196817249059677, -0.1166975125670433, 0.07353329658508301, 0.058961108326911926, -0.05270227789878845, 0.05884591117501259, 0.07866616547107697, 0.040966831147670746, -0.17652113735675812, -0.12313781678676605, -0.18594294786453247, -0.014975852333009243, -0.2806577980518341, 0.15758547186851501, 0.003205979010090232, -0.18025854229927063, 0.1900513917207718, 0.15898385643959045, -0.0979720875620842, 0.09291600435972214, -0.12287312000989914, 0.10636922717094421, 0.22954106330871582, 0.08984696865081787, -0.007260892540216446, -0.033139701932668686, -0.18030676245689392, 0.1784849315881729, -0.1941838562488556, -0.14318963885307312, -0.15595734119415283, 0.13666404783725739, 0.04076273366808891, 0.015795566141605377, -0.05340973660349846, 0.10239578783512115, 0.13026796281337738, 0.05909859761595726, -0.12535148859024048, -0.08915431052446365, 0.1976330429315567, -0.13876783847808838, -0.08598918467760086, 0.14762766659259796, 0.2071741223335266, -0.15856237709522247, 0.07284320890903473]"
student,U00002,"['CANON_MANAGEMENT', 'CANON_CPLUS', 'CANON_DATA_ANALYSIS', 'CANON_MARKETING']","[0.08414337784051895, 0.15238036215305328, 0.08051511645317078, 0.18738296627998352, -0.05617755278944969, -0.0753338560461998, 0.15089745819568634, -0.25195056200027466, -0.13634493947029114, 0.170705184340477, 0.11742328852415085, 0.00736662233248353, 0.018596896901726723, -0.014203282073140144, 0.05329258739948273, -0.16097386181354523, -0.03444001451134682, -0.027479317039251328, -0.06343968957662582, 0.0998210534453392, 0.030858131125569344, 0.0012445102911442518, 0.16250865161418915, -0.009676022455096245, 0.1359737515449524, -0.24524876475334167, -0.08791738748550415, -0.22561176121234894, -0.00692959688603878, -0.22723212838172913, 0.20861852169036865, 0.18835346400737762, -0.1465860903263092, 0.08369282633066177, 0.18013465404510498, -0.14760172367095947, 0.0954139232635498, -0.17978224158287048, 0.14067569375038147, 0.10953855514526367, 0.10533954203128815, -0.058555953204631805, -0.04135594889521599, -0.06756608188152313, 0.19042758643627167, -0.14698480069637299, -0.06853115558624268, -0.03967516869306564, 0.12164636701345444, 0.01833438128232956, -0.023156244307756424, -0.016728535294532776, 0.11606093496084213, 0.19506096839904785, 0.059095874428749084, -0.09252358227968216, -0.030811719596385956, 0.10824285447597504, -0.16982394456863403, 0.02346043474972248, 0.07372729480266571, 0.17406035959720612, -0.16518229246139526, 0.0730949342250824]"
student,U00003,"['CANON_MARKETING', 'CANON_ML']","[-0.062084175646305084, 0.1187330037355423, 0.16604579985141754, 0.1465027779340744, -0.045712605118751526, 0.12315188348293304, 0.12990403175354004, -0.17000854015350342, -0.05959441885352135, 0.18401764333248138, 0.08605049550533295, 0.07552594691514969, 0.011168388649821281, -0.07431972026824951, 0.05234714224934578, -0.19661113619804382, -0.01429618988186121, -0.08958863466978073, -0.08448294550180435, -0.020015183836221695, 0.054746996611356735, 0.0025499085895717144, 0.1450326144695282, 0.04273747652769089, -0.04205748438835144, -0.23055993020534515, -0.12064515054225922, -0.09477999806404114, -0.07401648908853531, -0.23231233656406403, 0.10891168564558029, 0.11421629041433334, -0.2262938767671585, 0.14040891826152802, 0.19985680282115936, -0.11938247084617615, 0.0332116037607193, -0.20079392194747925, 0.07279665768146515, 0.12187111377716064, 0.06453773379325867, 0.05029194429516792, -0.10567374527454376, -0.11415747553110123, 0.10922270268201828, -0.19952178001403809, 0.015880780294537544, -0.06306164711713791, 0.09858494997024536, 0.09613446891307831, -0.11684829741716385, -0.06012600660324097, 0.13184280693531036, 0.3000495433807373, -0.03265901654958725, -0.09099100530147552, 0.0036714246962219477, 0.14833837747573853, -0.18045508861541748, -0.08715744316577911, 0.10141896456480026, 0.20932802557945251, -0.1491645872592926, 0.05373362824320793]"
student,U00004,"['CANON_JAVA', 'CANON_CLOUD', 'CANON_ML']","[-0.043397728353738785, 0.12671531736850739, 0.2506682276725769, -0.02375848777592182, -0.07885570079088211, 0.05135975778102875, 0.09762758016586304, -0.1407812088727951, -0.1269931048154831, 0.17750878632068634, 0.020455848425626755, 0.008245383389294147, 0.1207965537905693, 0.16468866169452667, -0.01105591282248497, -0.20010188221931458, -0.04361483454704285, -0.07209907472133636, -0.04140102118253708, 0.07712765783071518, 0.08793199807405472, -0.01663760095834732, 0.21127429604530334, 0.08318493515253067, 0.06159104406833649, -0.14080499112606049, -0.22516439855098724, -0.12261722981929779, -0.022080639377236366, -0.2459505945444107, 0.1155654713511467, 0.005910658277571201, -0.14589980244636536, 0.07011965662240982, 0.09808167815208435, -0.044353023171424866, 0.04805151745676994, -0.22233235836029053, 0.14364099502563477, 0.09458408504724503, 0.11228272318840027, 0.02569538727402687, -0.037910301238298416, -0.11387527734041214, 0.197934091091156, -0.18841984868049622, -0.1492413580417633, -0.08706963062286377, 0.17568086087703705, 0.0712873712182045, -0.01601441577076912, -0.12293598055839539, 0.11791148036718369, 0.15213808417320251, 0.08566269278526306, -0.20013856887817383, -0.1523393839597702, 0.17132258415222168, -0.14341065287590027, -0.13076144456863403, 0.1059415191411972, 0.12349836528301239, -0.08860652148723602, 0.027878455817699432]"
student,U00005,"['CANON_SQL', 'CANON_JAVA', 'CANON_MANAGEMENT']","[0.0804070308804512, 0.09539303183555603, 0.14501291513442993, 0.03223404288291931, -0.07305212318897247, -0.08991839736700058, 0.18681545555591583, -0.1418149471282959, -0.07181431353092194, 0.16426989436149597, 0.0816430002450943, 0.017100771889090538, 0.141344353556633, 0.11999602615833282, -0.05103155970573425, -0.12283312529325485, 0.016686083748936653, 0.06685943156480789, -0.005583965685218573, 0.1215369924902916, 0.01577431708574295, -0.0070449067279696465, 0.15514403581619263, -0.016626661643385887, 0.1429997980594635, -0.1982748657464981, -0.07324758917093277, -0.14877745509147644, -0.07512804865837097, -0.22864875197410583, 0.1575286090373993, 0.06529796868562698, -0.20844070613384247, 0.06198081001639366, 0.1586446315050125, -0.11707333475351334, 0.1390051394701004, -0.1513843536376953, 0.07612549513578415, 0.13175354897975922, 0.1352258175611496, -0.006861876230686903, -0.06099016219377518, -0.1266651749610901, 0.16488400101661682, -0.24622507393360138, -0.15591071546077728, -0.12727490067481995, 0.13468030095100403, 0.029330668970942497, 0.03888491541147232, -0.07495716214179993, 0.07546479254961014, 0.1696573942899704, 0.007790532894432545, -0.14912399649620056, -0.13569368422031403, 0.27706336975097656, -0.25320965051651, -0.01706116273999214, 0.09371184557676315, 0.08840084075927734, -0.07690015435218811, 0.03644660860300064]"
student,U00006,"['CANON_JAVA', 'CANON_CPLUS', 'CANON_ML']","[0.0601387582719326, 0.12967367470264435, 0.2475213259458542, 0.10221189260482788, -0.022320792078971863, -0.06634245812892914, 0.17497889697551727, -0.2366265207529068, -0.1389867216348648, 0.1805306375026703, 0.09185570478439331, -0.07613689452409744, -0.008149988949298859, 0.16771195828914642, 0.07417415082454681, -0.1824209988117218, -0.05983459949493408, -0.03937993571162224, 0.0625804215669632, 0.10277500003576279, 0.14565899968147278, 0.027424650266766548, 0.14749516546726227, 0.013636249117553234, 0.09592556208372116, -0.1853029578924179, -0.18034406006336212, -0.18249794840812683, -0.0021172098349779844, -0.1505804806947708, 0.14499041438102722, 0.08981337398290634, -0.14816302061080933, 0.006655207835137844, 0.1155162900686264, -0.04644378647208214, 0.07181854546070099, -0.18878765404224396, 0.18033543229103088, 0.08692634850740433, 0.12163727730512619, -0.0023507012519985437, -0.03571217879652977, -0.15132980048656464, 0.13242514431476593, -0.1263996660709381, -0.1201835423707962, -0.013246255926787853, 0.19444461166858673, -0.017838353291153908, 0.07148601859807968, -0.11007393151521683, 0.05474990978837013, 0.1316346675157547, 0.10528406500816345, -0.16737055778503418, -0.04985203966498375, 0.17666569352149963, -0.16721642017364502, -0.06249621883034706, 0.11781910061836243, 0.16377432644367218, -0.08970877528190613, 0.15491798520088196]"
student,U00007,"['CANON_CPLUS', 'CANON_MANAGEMENT', 'CANON_SQL', 'CANON_ML', 'CANON_MARKETING']","[0.047635309398174286, 0.18624694645404816, 0.15111631155014038, 0.15030249953269958, -0.062245700508356094, -0.07055331021547318, 0.13850514590740204, -0.21529364585876465, -0.11498215049505234, 0.15555600821971893, 0.07117392867803574, 0.010910785757005215, 0.03641976788640022, 0.08915042132139206, 0.08430815488100052, -0.10927311331033707, -0.07600286602973938, -0.03399369493126869, -0.06935026496648788, 0.10637025535106659, 0.02683562971651554, 0.022277064621448517, 0.08688769489526749, -0.0006859646528027952, 0.09376811236143112, -0.2333829402923584, -0.09025666862726212, -0.20542341470718384, -0.056764956563711166, -0.22123770415782928, 0.20498475432395935, 0.15797866880893707, -0.20897933840751648, 0.055254530161619186, 0.1588071882724762, -0.15434607863426208, 0.09042371064424515, -0.17182259261608124, 0.18858572840690613, 0.12213511765003204, 0.07745511084794998, 0.01493990607559681, -0.0649905726313591, -0.09860169887542725, 0.18379463255405426, -0.2054855078458786, -0.09011894464492798, -0.08196453005075455, 0.11297155171632767, 0.026838405057787895, 0.03652387484908104, -0.037844832986593246, 0.08744989335536957, 0.1942535936832428, 0.05665178969502449, -0.09055527299642563, -0.0028889516834169626, 0.12705230712890625, -0.21401406824588776, -0.00991198979318142, 0.1032363697886467, 0.1911584883928299, -0.15396817028522491, 0.08229096233844757]"
student,U00008,"['CANON_CLOUD', 'CANON_PYTHON', 'CANON_SQL', 'CANON_MARKETING', 'CANON_CPLUS']","[0.029500698670744896, 0.16201825439929962, 0.1354825645685196, 0.09292366355657578, -0.10991403460502625, -0.01578201912343502, 0.14996519684791565, -0.1841437667608261, -0.07598091661930084, 0.12124262750148773, 0.03403271734714508, 0.061696670949459076, 0.020459571853280067, 0.013407910242676735, 0.07947691529989243, -0.19536690413951874, -0.04817335680127144, -0.07647668570280075, -0.11461751908063889, 0.12938262522220612, 0.06335831433534622, -0.033251505345106125, 0.07750420272350311, 0.027113713324069977, 0.05864483863115311, -0.22198769450187683, -0.12675565481185913, -0.22790837287902832, -0.02539600245654583, -0.20240379869937897, 0.20822957158088684, 0.018435660749673843, -0.15922911465168, 0.10550155490636826, 0.1884111911058426, -0.16134648025035858, 0.08299576491117477, -0.15790817141532898, 0.1747329831123352, 0.1746494472026825, 0.09988681972026825, 0.00471916887909174, -0.0014315092703327537, -0.09297187626361847, 0.16095082461833954, -0.21029908955097198, -0.10508278757333755, -0.09865298122167587, 0.12475083768367767, 0.06024034321308136, -0.03637940064072609, -0.08223970234394073, 0.018413884565234184, 0.11767967790365219, 0.1696055382490158, -0.11775853484869003, -0.05055423825979233, 0.09209463000297546, -0.15575441718101501, -0.06426946818828583, 0.18216970562934875, 0.16923494637012482, -0.21675527095794678, 0.13391445577144623]"
student,U00009,"['CANON_MARKETING', 'CANON_CLOUD', 'CANON_JAVA']","[-0.023174939677119255, 0.13947872817516327, 0.18213224411010742, 0.0023193818051368, -0.11076007038354874, 0.05001490190625191, 0.08189631998538971, -0.12034173309803009, -0.08773929625749588, 0.11710003018379211, 0.032994579523801804, 0.02388152852654457, 0.10419827699661255, 0.09265033155679703, -0.057787034660577774, -0.23755159974098206, -0.015746546909213066, 0.0018790409667417407, -0.042095839977264404, 0.052311718463897705, 0.1038515493273735, -0.055494874715805054, 0.26053473353385925, 0.12353503704071045, 0.043973006308078766, -0.18921300768852234, -0.22731007635593414, -0.09879998117685318, -0.04743089899420738, -0.2435837984085083, 0.11225150525569916, -0.01066819578409195, -0.17875541746616364, 0.0979660153388977, 0.18180690705776215, -0.12112151831388474, 0.047724854201078415, -0.24559210240840912, 0.08761264383792877, 0.10519809275865555, 0.11279501765966415, 0.03852153196930885, -0.07345461845397949, -0.06964727491140366, 0.16571199893951416, -0.20499560236930847, -0.14973928034305573, -0.05370955169200897, 0.13353712856769562, 0.0968877375125885, -0.0772521123290062, -0.1447335034608841, 0.11455905437469482, 0.15897822380065918, 0.07548084110021591, -0.19975288212299347, -0.0928603783249855, 0.12988786399364471, -0.16347622871398926, -0.07599898427724838, 0.1269979476928711, 0.12450888007879257, -0.1253630369901657, -0.006119533441960812]"
student,U00010,"['CANON_JAVA', 'CANON_MARKETING', 'CANON_SQL', 'CANON_CLOUD']","[0.00728992372751236, 0.13248293101787567, 0.1659543663263321, 0.026221148669719696, -0.09576589614152908, 0.021128231659531593, 0.09631265699863434, -0.12009616941213608, -0.09740527719259262, 0.1191367581486702, 0.0436493456363678, 0.011245292611420155, 0.10951130837202072, 0.08788400143384933, -0.025187566876411438, -0.1898616999387741, -0.003527516033500433, -0.012535315938293934, -0.04892367124557495, 0.07146354764699936, 0.06711062043905258, -0.028716502711176872, 0.18438327312469482, 0.07072523981332779, 0.06395658105611801, -0.18950581550598145, -0.15327847003936768, -0.13131512701511383, -0.06473066657781601, -0.250882625579834, 0.15198221802711487, -0.02845003455877304, -0.1846611201763153, 0.12259610742330551, 0.21291065216064453, -0.1486777663230896, 0.09530093520879745, -0.18090519309043884, 0.12100204825401306, 0.1492088884115219, 0.10130605846643448, 0.03152604401111603, -0.07025376707315445, -0.12539751827716827, 0.17757177352905273, -0.24894122779369354, -0.17401446402072906, -0.11577527970075607, 0.12633803486824036, 0.09301210194826126, -0.01972365193068981, -0.14187221229076385, 0.0797990933060646, 0.16750895977020264, 0.09264403581619263, -0.17213229835033417, -0.08075578510761261, 0.14910557866096497, -0.21760183572769165, -0.08327744901180267, 0.13693776726722717, 0.12785521149635315, -0.12063007801771164, 0.010775329545140266]"
