client_id,org_type,n_rows,pos_rate,date_min,date_max
client_U1,U,1147,0.0157,2025-01-01,2025-03-31
client_U2,U,693,0.026,2025-01-01,2025-03-31
client_U3,U,444,0.0113,2025-01-01,2025-03-31
client_U4,U,1050,0.0152,2025-01-01,2025-03-31
client_U5,U,867,0.0104,2025-01-01,2025-03-31
client_U6,U,930,0.0108,2025-01-01,2025-03-31
client_U7,U,387,0.0129,2025-01-01,2025-03-31
client_U8,U,581,0.0103,2025-01-01,2025-03-31
client_C1,C,2106,0.0104,2025-04-01,2025-07-31
client_C2,C,2215,0.0208,2025-04-01,2025-07-31
client_C3,C,1540,0.0149,2025-04-01,2025-07-31
client_C4,C,2168,0.0987,2025-04-01,2025-07-31
client_C5,C,2231,0.0161,2025-04-01,2025-07-31
client_C6,C,1459,0.0103,2025-04-01,2025-07-31
client_C7,C,2327,0.0103,2025-04-01,2025-07-31
client_C8,C,1290,0.014,2025-04-01,2025-07-31
client_P1,P,667,0.0105,2025-08-01,2025-10-31
client_P2,P,978,0.0102,2025-08-01,2025-10-31
client_P3,P,946,0.0106,2025-08-01,2025-10-31
client_P4,P,597,0.0101,2025-08-01,2025-10-31
